,Aktiv,Alles anstrengend,Alter,Andere kritisieren,BRS1,BRS2,BRS3,BRS4,BRS5,BRS6,Berufliche Ausbildung,Berufsgruppe,Desinteresse Politiker,Druck,Entspannt,Erwerbstätigkeit,Familienstand,Faulheit,Geburtsland,Geschlecht,Gesellig,Gruendlich,Hoechster Bildungsabschluss,IE_ext1,IE_ext2,IE_int1,IE_int2,Id,Leben genießen,Nationalitaet,Nervoes,Nervös,Nettoeinkommen Haushalt,Nettoeinkommen Selbst,Optimismus,Optimismus Zukunft,Pessimismus,Phantasievoll,Resilienz,Schlechter Schlaf,Schulabschluss,Verärgert,Wach,Wahlabsicht,Wahlteilnahme,Zufriedenheit Leben,Zufriedenheit Wahlergebnis,Zurueckhaltend,label,leicht Vertrauen,wenig kuenstlerisches Interesse,woechentlicheArbeitszeit,Ängstlich
512,3.0,2.0,53.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,3.5,3.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,1.0,4.0,5.0,GBS-19800,3.0,1.0,3.0,4.0,3.0,2.0,7.0,5.0,1.0,4.0,2.0,3.0,5.0,4.0,4.0,1.0,1.0,4.0,2.0,4.0,1,3.0,2.0,5,4.0
490,3.0,2.0,71.0,3.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,8.0,3.5,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,5.0,5.0,GBS-20053,3.0,1.0,2.0,3.0,3.0,1.0,6.0,5.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,1.0,1.0,3.0,2.0,4.0,1,5.0,4.0,1,4.0
299,2.0,3.0,63.0,3.0,5.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,3.5,4.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,1.0,1.0,5.0,4.0,GBS-20208,3.0,1.0,1.0,4.0,4.0,4.0,7.0,5.0,1.0,2.0,2.0,4.0,5.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,1,3.0,5.0,3,4.0
130,3.0,2.0,60.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0,1.0,3.0,2.0,3.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,GBS-20218,3.0,1.0,1.0,4.0,2.0,1.0,6.0,4.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,1.0,1,5.0,2.0,3,4.0
344,2.0,3.0,64.0,5.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,3.5,3.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,3.0,4.0,5.0,3.0,GBS-20348,2.0,1.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,1,4.0,1.0,5,4.0
803,2.0,2.0,62.0,5.0,4.0,2.0,3.0,2.0,4.0,3.0,2.0,4.0,3.5,4.0,3.0,1.0,1.0,2.0,1.0,2.0,5.0,3.0,3.0,2.0,3.0,5.0,4.0,GBS-20381,2.0,1.0,2.0,4.0,3.0,2.0,6.0,3.0,3.0,5.0,3.0,3.0,5.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,1,3.0,1.0,1,4.0
75,3.0,2.0,43.0,2.0,5.0,3.0,5.0,4.0,3.0,2.0,2.0,3.0,3.5,3.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,4.0,2.0,1.0,2.0,4.0,5.0,GBS-20384,3.0,1.0,2.0,4.0,3.0,2.0,6.0,4.0,2.0,5.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,1,4.0,1.0,3,4.0
182,3.0,2.0,54.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,3.5,4.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,4.0,4.0,GBS-20511,3.0,1.0,1.0,4.0,3.0,4.0,6.0,4.0,1.0,5.0,2.0,3.0,5.0,4.0,4.0,1.0,0.0,3.0,4.0,4.0,1,5.0,3.0,5,4.0
481,4.0,2.0,61.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,GBS-20583,3.0,1.0,2.0,3.0,4.0,3.0,6.0,4.0,2.0,4.0,2.0,3.0,5.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,1,4.0,2.0,4,4.0
499,3.0,2.0,49.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.5,3.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,3.0,4.0,5.0,2.0,GBS-20595,3.0,1.0,4.0,4.0,3.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,1.0,1.0,3.0,4.0,5.0,1,2.0,3.0,5,3.0
580,3.0,2.0,62.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,3.5,3.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,GBS-20678,3.0,1.0,3.0,4.0,3.0,3.0,6.0,5.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,1,3.0,1.0,5,4.0
99,3.0,2.0,48.0,2.0,5.0,1.0,5.0,4.0,4.0,2.0,2.0,3.0,3.5,2.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,2.0,1.0,5.0,5.0,GBS-20689,3.0,1.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,4.0,2.0,2.0,5.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,1,2.0,3.0,5,4.0
117,2.0,3.0,26.0,5.0,4.0,1.0,4.0,4.0,3.0,2.0,8.0,8.0,3.5,3.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,5.0,3.0,2.0,1.0,2.0,4.0,GBS-20693,3.0,1.0,5.0,3.0,3.0,2.0,6.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,4.0,1,4.0,4.0,1,4.0
293,3.0,2.0,58.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,3.5,4.0,4.0,1.0,1.0,3.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,3.0,3.0,GBS-20709,3.0,1.0,4.0,4.0,1.0,1.0,7.0,5.0,1.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,1.0,3.0,3.0,4.0,1,4.0,2.0,2,4.0
850,3.0,2.0,22.0,2.0,5.0,3.0,5.0,1.0,3.0,2.0,8.0,8.0,3.5,3.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,5.0,GBS-20714,4.0,1.0,2.0,3.0,0.0,0.0,5.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,1,3.0,2.0,1,4.0
447,3.0,2.0,55.0,2.0,5.0,1.0,5.0,1.0,5.0,1.0,2.0,3.0,3.5,4.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,5.0,5.0,GBS-20851,3.0,1.0,2.0,4.0,3.0,3.0,7.0,5.0,1.0,1.0,1.0,3.0,5.0,4.0,4.0,1.0,1.0,3.0,2.0,4.0,1,2.0,1.0,5,4.0
69,3.0,2.0,61.0,4.0,2.0,4.0,2.0,4.0,1.0,4.0,2.0,3.0,3.5,2.0,2.0,1.0,1.0,5.0,1.0,2.0,4.0,5.0,3.0,5.0,5.0,3.0,3.0,GBS-20952,2.0,1.0,5.0,2.0,3.0,1.0,2.0,1.0,6.0,4.0,4.0,3.0,5.0,2.0,4.0,1.0,1.0,2.0,4.0,3.0,1,2.0,4.0,3,3.0
502,1.0,4.0,27.0,1.0,2.0,2.0,2.0,5.0,2.0,5.0,2.0,3.0,3.5,3.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,3.0,3.0,2.0,4.0,4.0,GBS-20967,1.0,1.0,3.0,3.0,3.0,0.0,6.0,3.0,3.0,4.0,5.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,1,2.0,3.0,5,3.0
4,3.0,2.0,68.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,8.0,5.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,5.0,4.0,GBS-21180,3.0,1.0,4.0,3.0,3.0,2.0,6.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,1.0,1.0,3.0,3.0,5.0,1,4.0,2.0,1,4.0
584,3.0,2.0,62.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.5,4.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,4.0,4.0,GBS-21216,1.0,1.0,5.0,3.0,2.0,1.0,2.0,4.0,6.0,4.0,4.0,4.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1,1.0,5.0,3,4.0
215,3.0,2.0,65.0,2.0,5.0,1.0,5.0,2.0,4.0,2.0,5.0,8.0,3.5,4.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,3.0,2.0,2.0,4.0,5.0,GBS-21254,3.0,1.0,1.0,3.0,4.0,1.0,6.0,5.0,2.0,4.0,2.0,4.0,5.0,3.0,4.0,1.0,1.0,3.0,3.0,4.0,1,4.0,5.0,1,4.0
15,3.0,3.0,54.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,6.0,8.0,3.5,2.0,2.0,1.0,1.0,4.0,1.0,2.0,5.0,4.0,2.0,1.0,3.0,4.0,3.0,GBS-21327,3.0,1.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,5.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1,4.0,2.0,1,2.0
468,2.0,2.0,35.0,2.0,5.0,2.0,5.0,2.0,3.0,3.0,5.0,2.0,3.5,3.0,2.0,1.0,2.0,3.0,1.0,2.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,GBS-21439,3.0,1.0,3.0,2.0,4.0,2.0,3.0,4.0,5.0,2.0,3.0,2.0,5.0,3.0,2.0,1.0,1.0,3.0,2.0,5.0,1,3.0,5.0,5,3.0
655,3.0,2.0,69.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,3.5,4.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,GBS-21466,3.0,1.0,2.0,4.0,3.0,1.0,6.0,5.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,4.0,1,4.0,4.0,5,4.0
686,3.0,2.0,23.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,8.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,GBS-21479,3.0,1.0,4.0,3.0,2.0,0.0,5.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,1,4.0,2.0,1,3.0
567,3.0,2.0,64.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,3.5,4.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,5.0,2.0,2.0,3.0,5.0,4.0,GBS-21487,4.0,1.0,2.0,4.0,3.0,2.0,5.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,4.0,3.0,4.0,1,4.0,4.0,3,4.0
530,3.0,2.0,27.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.5,4.0,4.0,1.0,1.0,4.0,1.0,1.0,5.0,4.0,3.0,2.0,2.0,5.0,4.0,GBS-21494,3.0,1.0,4.0,3.0,3.0,0.0,6.0,4.0,3.0,4.0,2.0,4.0,5.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1,3.0,5.0,5,4.0
747,3.0,1.0,32.0,4.0,5.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,3.5,3.0,3.0,1.0,2.0,2.0,1.0,2.0,5.0,5.0,3.0,2.0,1.0,5.0,5.0,GBS-21581,3.0,1.0,2.0,4.0,4.0,2.0,6.0,5.0,2.0,4.0,1.0,3.0,5.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,1,4.0,2.0,3,4.0
56,3.0,2.0,35.0,4.0,5.0,2.0,2.0,1.0,5.0,1.0,2.0,3.0,3.5,4.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,5.0,3.0,2.0,2.0,4.0,5.0,GBS-21622,3.0,1.0,3.0,4.0,3.0,3.0,6.0,5.0,2.0,5.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0,3.0,4.0,5.0,1,3.0,2.0,5,4.0
639,2.0,3.0,28.0,3.0,5.0,1.0,4.0,1.0,5.0,1.0,2.0,3.0,3.5,2.0,4.0,2.0,2.0,4.0,1.0,1.0,5.0,4.0,3.0,2.0,1.0,4.0,4.0,GBS-21639,2.0,1.0,2.0,3.0,2.0,1.0,6.0,4.0,1.0,4.0,1.0,3.0,5.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,1,4.0,2.0,3,4.0
484,2.0,3.0,51.0,2.0,5.0,2.0,5.0,1.0,5.0,2.0,2.0,3.0,3.5,2.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,4.0,5.0,GBS-21685,3.0,1.0,2.0,3.0,3.0,4.0,6.0,4.0,2.0,5.0,2.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1,4.0,1.0,5,3.0
218,3.0,2.0,42.0,2.0,5.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,3.5,4.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,GBS-21703,3.0,1.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,5.0,2.0,4.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,1,3.0,1.0,5,4.0
520,3.0,2.0,70.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.5,4.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,2.0,5.0,4.0,GBS-21717,3.0,1.0,2.0,3.0,3.0,1.0,7.0,5.0,1.0,5.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,1,4.0,4.0,5,1.0
168,3.0,2.0,34.0,4.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,3.5,4.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,5.0,GBS-21761,3.0,1.0,3.0,4.0,3.0,3.0,6.0,5.0,1.0,1.0,2.0,4.0,3.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,1,3.0,5.0,5,4.0
342,4.0,1.0,59.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,3.5,4.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,5.0,3.0,2.0,3.0,3.0,4.0,GBS-21832,4.0,1.0,4.0,3.0,3.0,2.0,6.0,4.0,2.0,5.0,4.0,3.0,5.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,1,5.0,1.0,5,4.0
360,1.0,4.0,62.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,8.0,2.0,3.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,5.0,3.0,4.0,5.0,3.0,2.0,GBS-21867,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,6.0,4.0,4.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,3.0,5.0,1,4.0,2.0,5,3.0
830,3.0,2.0,61.0,3.0,4.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,3.5,4.0,4.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,GBS-21872,3.0,1.0,2.0,4.0,4.0,3.0,6.0,5.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,1.0,1.0,3.0,3.0,1.0,1,4.0,5.0,3,4.0
901,4.0,2.0,38.0,2.0,5.0,2.0,5.0,2.0,5.0,2.0,2.0,3.0,3.5,3.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,3.0,3.0,2.0,5.0,5.0,GBS-21876,3.0,1.0,4.0,4.0,3.0,1.0,6.0,5.0,2.0,3.0,2.0,3.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0,5.0,1,4.0,2.0,5,4.0
44,3.0,2.0,63.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,GBS-22003,3.0,1.0,2.0,4.0,4.0,4.0,6.0,5.0,1.0,4.0,2.0,4.0,5.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,1,4.0,4.0,5,4.0
477,3.0,2.0,45.0,3.0,4.0,3.0,4.0,2.0,4.0,1.0,5.0,3.0,3.5,2.0,4.0,1.0,1.0,1.0,0.0,1.0,4.0,5.0,1.0,4.0,2.0,4.0,4.0,GBS-22013,3.0,1.0,1.0,3.0,4.0,2.0,6.0,4.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,1,5.0,2.0,5,4.0
734,3.0,2.0,57.0,4.0,5.0,2.0,5.0,2.0,5.0,1.0,2.0,3.0,3.5,3.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,2.0,2.0,5.0,5.0,GBS-22099,3.0,1.0,2.0,4.0,3.0,2.0,6.0,5.0,2.0,4.0,1.0,3.0,5.0,4.0,3.0,1.0,1.0,3.0,4.0,2.0,1,4.0,1.0,5,4.0
206,4.0,2.0,28.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,8.0,3.5,4.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,GBS-22116,3.0,1.0,4.0,4.0,3.0,2.0,2.0,3.0,6.0,1.0,2.0,4.0,4.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,1,2.0,5.0,1,4.0
869,2.0,2.0,61.0,2.0,4.0,2.0,4.0,1.0,5.0,1.0,2.0,3.0,3.5,4.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,5.0,4.0,GBS-22160,2.0,1.0,2.0,4.0,3.0,3.0,7.0,5.0,1.0,5.0,1.0,4.0,5.0,4.0,4.0,1.0,1.0,2.0,4.0,2.0,1,5.0,1.0,5,4.0
268,3.0,2.0,70.0,2.0,4.0,1.0,5.0,1.0,5.0,1.0,1.0,4.0,3.5,4.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,2.0,5.0,5.0,GBS-22274,3.0,1.0,1.0,4.0,3.0,2.0,7.0,5.0,1.0,4.0,1.0,3.0,2.0,4.0,4.0,0.0,1.0,3.0,3.0,1.0,1,4.0,4.0,1,4.0
278,3.0,2.0,36.0,4.0,5.0,2.0,4.0,2.0,4.0,1.0,2.0,3.0,3.5,3.0,4.0,1.0,2.0,2.0,0.0,2.0,4.0,4.0,3.0,1.0,2.0,5.0,4.0,GBS-22383,3.0,1.0,5.0,4.0,1.0,1.0,5.0,5.0,3.0,3.0,1.0,3.0,5.0,4.0,2.0,1.0,0.0,3.0,4.0,2.0,1,4.0,1.0,5,4.0
407,3.0,2.0,55.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,3.5,4.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,GBS-22395,3.0,1.0,2.0,4.0,3.0,2.0,6.0,4.0,1.0,4.0,2.0,3.0,5.0,3.0,3.0,1.0,1.0,3.0,2.0,5.0,1,5.0,4.0,5,4.0
90,3.0,2.0,36.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,6.0,3.0,3.5,4.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,3.0,5.0,3.0,GBS-22528,3.0,1.0,2.0,3.0,3.0,1.0,4.0,3.0,2.0,5.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1,4.0,1.0,3,2.0
475,3.0,2.0,34.0,2.0,4.0,4.0,5.0,2.0,4.0,2.0,4.0,3.0,3.5,3.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,GBS-22533,3.0,1.0,3.0,3.0,4.0,2.0,6.0,5.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1,4.0,2.0,3,3.0
59,3.0,2.0,50.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.5,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,GBS-22537,2.0,1.0,1.0,4.0,3.0,4.0,6.0,4.0,2.0,4.0,2.0,2.0,5.0,3.0,3.0,1.0,1.0,3.0,4.0,5.0,1,4.0,1.0,5,4.0
778,3.0,2.0,20.0,3.0,5.0,1.0,5.0,1.0,5.0,1.0,3.0,4.0,3.5,4.0,4.0,1.0,2.0,3.0,0.0,1.0,3.0,4.0,3.0,3.0,2.0,5.0,4.0,GBS-22570,3.0,1.0,4.0,4.0,4.0,1.0,5.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0,3.0,3.0,4.0,1,4.0,1.0,4,4.0
67,3.0,2.0,72.0,3.0,5.0,2.0,4.0,4.0,5.0,2.0,6.0,1.0,3.5,4.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,3.0,3.0,1.0,5.0,5.0,GBS-22623,3.0,1.0,3.0,4.0,2.0,0.0,6.0,5.0,1.0,4.0,2.0,3.0,1.0,4.0,3.0,1.0,1.0,3.0,4.0,3.0,1,4.0,3.0,1,4.0
40,2.0,3.0,51.0,3.0,5.0,2.0,5.0,4.0,4.0,2.0,2.0,3.0,3.5,2.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,GBS-22673,2.0,1.0,2.0,3.0,4.0,4.0,7.0,4.0,2.0,4.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1,4.0,1.0,5,4.0
621,4.0,2.0,25.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,8.0,8.0,3.5,3.0,3.0,1.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,GBS-22743,3.0,1.0,2.0,4.0,0.0,0.0,4.0,2.0,5.0,5.0,2.0,2.0,5.0,4.0,3.0,1.0,1.0,3.0,3.0,2.0,1,2.0,2.0,1,4.0
598,3.0,2.0,63.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,3.5,4.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,GBS-22753,3.0,1.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,1,4.0,2.0,5,4.0
543,3.0,2.0,34.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,2.0,3.0,2.0,4.0,5.0,1.0,1.0,2.0,1.0,2.0,5.0,4.0,3.0,1.0,1.0,5.0,5.0,GBS-23032,3.0,1.0,2.0,4.0,4.0,1.0,7.0,5.0,1.0,2.0,1.0,4.0,5.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,1,3.0,5.0,2,4.0
461,3.0,2.0,56.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,3.5,3.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,GBS-23106,3.0,1.0,4.0,3.0,4.0,2.0,5.0,3.0,3.0,2.0,4.0,3.0,5.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1,3.0,3.0,2,3.0
47,3.0,2.0,29.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,GBS-23120,3.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1,2.0,3.0,3,4.0
356,3.0,3.0,59.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,5.0,3.0,3.5,3.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,GBS-23181,3.0,1.0,2.0,3.0,4.0,2.0,3.0,2.0,5.0,3.0,4.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,1,4.0,3.0,3,4.0
154,2.0,3.0,37.0,2.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,3.0,3.5,3.0,3.5,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,GBS-23224,4.0,1.0,2.0,3.0,3.0,1.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,0.0,3.0,3.0,4.0,1,4.0,4.0,5,3.0
335,3.0,2.0,32.0,3.0,4.0,2.0,4.0,2.0,5.0,2.0,2.0,5.0,3.5,4.0,3.0,4.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,1.0,2.0,5.0,5.0,GBS-23235,3.0,1.0,2.0,4.0,4.0,1.0,6.0,5.0,1.0,5.0,2.0,3.0,5.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,1,4.0,1.0,1,4.0
86,3.0,2.0,51.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,GBS-23269,2.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0,5.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0,1,2.0,2.0,2,3.0
956,2.0,3.0,56.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,3.5,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,3.0,2.0,2.0,4.0,4.0,GBS-23425,2.0,1.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,2.0,2.0,5.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,1,4.0,1.0,5,3.0
727,1.0,4.0,75.0,2.0,5.0,2.0,5.0,1.0,5.0,1.0,2.0,3.0,3.5,4.0,4.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,3.0,1.0,1.0,5.0,5.0,GBS-23441,1.0,1.0,1.0,3.0,3.0,3.0,7.0,5.0,1.0,4.0,1.0,1.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1,4.0,1.0,5,4.0
