,Aktiv,Alles anstrengend,Alter,Andere kritisieren,BRS1,BRS2,BRS3,BRS4,BRS5,BRS6,Berufliche Ausbildung,Berufsgruppe,Desinteresse Politiker,Druck,Entspannt,Erwerbstätigkeit,Familienstand,Faulheit,Geburtsland,Geschlecht,Gesellig,Gruendlich,Hoechster Bildungsabschluss,IE_ext1,IE_ext2,IE_int1,IE_int2,Id,Leben genießen,Nationalitaet,Nervoes,Nervös,Nettoeinkommen Haushalt,Nettoeinkommen Selbst,Optimismus,Optimismus Zukunft,Pessimismus,Phantasievoll,Resilienz,Schlechter Schlaf,Schulabschluss,Verärgert,Wach,Wahlabsicht,Wahlteilnahme,Zufriedenheit Leben,Zufriedenheit Wahlergebnis,Zurueckhaltend,label,leicht Vertrauen,wenig kuenstlerisches Interesse,woechentlicheArbeitszeit,Ängstlich
760,3.0,2.0,35.0,4.0,2.0,3.0,3.0,2.0,2.0,5.0,2.0,3.0,3.5,3.0,5.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,3.0,3.0,5.0,4.0,GBS-12844,3.0,1.0,3.0,3.0,3.0,0.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,1,2.0,1.0,5,4.0
151,2.0,3.0,57.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,3.5,4.0,4.0,1.0,1.0,1.0,0.0,2.0,4.0,4.0,3.0,1.0,2.0,4.0,4.0,GBS-12902,3.0,1.0,2.0,3.0,2.0,1.0,5.0,5.0,2.0,4.0,2.0,3.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,4.0,1,2.0,1.0,3,4.0
444,3.0,2.0,55.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,3.5,2.0,3.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,GBS-12909,3.0,1.0,2.0,3.0,3.0,2.0,5.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,1.0,1.0,3.0,3.0,4.0,1,4.0,4.0,5,4.0
443,3.0,2.0,55.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,3.5,3.0,3.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,GBS-12909,3.0,1.0,2.0,4.0,3.0,2.0,6.0,4.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,1.0,1.0,3.0,3.0,4.0,1,4.0,4.0,5,4.0
975,3.0,2.0,33.0,3.0,4.0,2.0,5.0,2.0,5.0,1.0,2.0,3.0,3.5,3.0,4.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,GBS-12958,3.0,1.0,2.0,4.0,3.0,2.0,5.0,5.0,2.0,4.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1,3.0,4.0,5,4.0
282,3.0,2.0,35.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,GBS-12975,3.0,1.0,3.0,4.0,2.0,2.0,5.0,4.0,3.0,5.0,4.0,3.0,5.0,2.0,4.0,1.0,1.0,3.0,3.0,4.0,1,3.0,2.0,3,4.0
464,3.0,2.0,55.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,3.5,4.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,GBS-13016,4.0,1.0,4.0,3.0,3.0,0.0,5.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,1.0,0.0,4.0,3.0,2.0,1,2.0,4.0,5,4.0
346,2.0,2.0,52.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,2.0,2.0,4.0,4.0,GBS-13031,3.0,1.0,3.0,2.0,3.0,2.0,5.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,4.0,1,1.0,4.0,5,3.0
412,3.0,2.0,24.0,5.0,2.0,3.0,4.0,2.0,4.0,3.0,8.0,8.0,3.5,3.0,3.0,2.0,2.0,4.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,GBS-13062,3.0,1.0,2.0,4.0,0.0,0.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,1.0,1.0,3.0,2.0,4.0,1,4.0,2.0,2,4.0
787,3.0,2.0,57.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.5,3.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,GBS-13073,3.0,1.0,2.0,4.0,3.0,1.0,6.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,1,3.0,2.0,5,4.0
