,GBS-CODE,Gruppe,Geschlecht,Geburtsjahr,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Druck,Optimismus Zukunft,Zufriedenheit Wahlergebnis,Resilienz,label
246,GBS-19598,NEGATIV,-1.0369973945473194,-0.18809136660664283,0.3100579629838321,0.17633099834280683,-0.5734657706531676,0.977465930116216,2.0,-0.8305182273380257,1.8859698046059623,-0.4332674500342379,2.6710334803274143,1.5791827475854763,4.0,3.0,3.0,2.0,0,0.3186954528873749,4.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,-0.3111846724384411,1
437,GBS-28637,POSITIV,-1.0369973945473194,0.8468726966683138,0.3100579629838321,0.17633099834280683,-0.5734657706531676,0.977465930116216,4.0,-0.8305182273380257,-0.4456216393135642,-0.4332674500342379,0.7851504817725311,0.613294767538716,3.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,3.0,3.0,2.0,-0.3111846724384411,1
487,GBS-30618,NEGATIV,-1.0369973945473194,-0.6710745961349559,0.3100579629838321,0.17633099834280683,-0.5734657706531676,0.977465930116216,2.0,-0.8305182273380257,-0.4456216393135642,1.275490022504477,2.6710334803274143,1.5791827475854763,4.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,3.0,-0.3111846724384411,1
559,GBS-34759,POSITIV,0.9643225771425686,1.3298559261966267,0.3100579629838321,0.17633099834280683,1.176664050478243,0.977465930116216,2.0,-0.8305182273380257,-0.4456216393135642,-1.2876461863035953,0.7851504817725311,-0.35259321250804426,4.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,4.0,2.0,4.0,2.0,5.0,2.0,2.0,4.0,3.0,2.0,-0.3111846724384411,1
512,GBS-32046,NEGATIV,0.9643225771425686,1.81283915572494,0.3100579629838321,0.17633099834280683,1.176664050478243,0.977465930116216,8.0,-0.8305182273380257,-0.4456216393135642,-1.2876461863035953,-1.1007325167823525,-2.284369172601565,3.0,4.0,3.0,2.0,0,0.3186954528873749,2.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,1.0,4.0,2.0,2.0,2.0,3.0,5.0,3.0,4.0,3.0,5.0,2.0,-0.3111846724384411,1
413,GBS-27908,,-1.0369973945473194,1.7438415515066095,0.3100579629838321,0.17633099834280683,-0.5734657706531676,0.977465930116216,8.0,-0.8305182273380257,3.440364100552313,-0.4332674500342379,-1.1007325167823525,-0.35259321250804426,3.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,1.0,2.4746872334790853,1
135,GBS-13047,,0.9643225771425686,0.9848679051049747,0.3100579629838321,0.17633099834280683,1.176664050478243,0.977465930116216,8.0,0.44588853915504323,-0.4456216393135642,-1.2876461863035953,-1.1007325167823525,-1.3184811925548046,1.0,2.0,2.0,2.0,0,0.3186954528873749,3.0,2.0,2.0,4.0,1.0,4.0,3.0,2.0,4.0,4.0,5.0,1.0,2.0,4.0,5.0,5.0,4.0,3.0,4.0,2.0,2.4746872334790853,1
526,GBS-32725,POSITIV,-1.0369973945473194,-0.6020769919166254,0.3100579629838321,0.17633099834280683,-0.5734657706531676,0.977465930116216,2.0,-0.8305182273380257,-0.4456216393135642,1.275490022504477,0.7851504817725311,1.5791827475854763,4.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,4.0,3.0,2.0,2.0,5.0,2.0,4.0,4.0,5.0,2.0,-0.3111846724384411,1
440,GBS-28677,,0.9643225771425686,1.536848738851618,0.3100579629838321,0.17633099834280683,1.176664050478243,-0.32536086436928074,1.0,-0.8305182273380257,-0.4456216393135642,-1.2876461863035953,0.7851504817725311,-1.3184811925548046,4.0,2.0,1.0,3.0,0,0.3186954528873749,3.0,2.0,1.0,1.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,5.0,2.0,4.0,3.0,4.0,2.0,5.0,3.0,-0.3111846724384411,1
450,GBS-29048,,-1.0369973945473194,1.191860717759966,0.3100579629838321,0.17633099834280683,1.176664050478243,-0.32536086436928074,4.0,-0.8305182273380257,-0.4456216393135642,-1.2876461863035953,-0.15779101750491065,-1.3184811925548046,3.0,1.0,2.0,4.0,0,0.3186954528873749,3.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,1.0,3.0,4.0,-0.3111846724384411,1
