GBS-CODE,Gruppe,Geschlecht,Geburtsjahr,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Druck,Optimismus Zukunft,Zufriedenheit Wahlergebnis,Resilienz
GBS-02103,POSITIV,1.0,1995,1,1.0,2.0,3.0,6.0,1.0,0.0,1,0.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,5.0,1.0,5.0
GBS-02826,NEGATIV,1.0,1985,1,1.0,1.0,2.0,6.0,1.0,0.0,3,0.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,1.0,5.0,5.0,2.0,3.0,3.0,2.0,1.0
GBS-03597,NEGATIV,0.0,1983,1,1.0,1.0,3.0,1.0,1.0,0.0,2,2.0,3.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,1.0,4.0,3.0,4.0,2.0,5.0,3.0,5.0,3.0,2.0
GBS-03772,POSITIV,0.0,1996,1,1.0,2.0,3.0,8.0,2.0,0.0,1,0.0,0.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,4.0
GBS-03802,POSITIV,0.0,1970,1,1.0,2.0,2.0,4.0,1.0,0.0,1,0.0,0.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,5.0,3.0,4.0,1.0,5.0
GBS-03833,,0.0,1985,1,1.0,2.0,3.0,2.0,1.0,0.0,2,3.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,5.0,4.0,2.0
GBS-04010,NEGATIV,0.0,1985,1,1.0,2.0,2.0,1.0,1.0,0.0,1,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,1.0,3.0
GBS-04261,,0.0,1985,1,1.0,2.0,3.0,2.0,1.0,0.0,1,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,4.0
GBS-04352,NEGATIV,0.0,1981,1,1.0,2.0,3.0,5.0,1.0,0.0,2,2.0,2.0,3.0,4.0,4.0,2.0,0.0,0.5,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0
GBS-04558,POSITIV,0.0,1978,0,0.0,2.0,3.0,8.0,1.0,2.0,1,2.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0
