Aktiv,Alles anstrengend,Alter,Andere kritisieren,BRS1,BRS2,BRS3,BRS4,BRS5,BRS6,Berufliche Ausbildung,Berufsgruppe,Desinteresse Politiker,Druck,Entspannt,Erwerbstaetigkeit,Familienstand,Faulheit,Geburtsland,Geschlecht,Gesellig,Gruendlich,Hoechster Bildungsabschluss,IE_ext1,IE_ext2,IE_int1,IE_int2,Id,Leben genießen,Nationalitaet,Nervoes,Nervös,Nettoeinkommen Haushalt,Nettoeinkommen Selbst,Optimismus,Optimismus Zukunft,Personen im Haushalt,Pessimismus,Phantasievoll,Resilienz,Schlechter Schlaf,Schulabschluss,Verärgert,Wach,Wahlabsicht,Wahlteilnahme,Zufriedenheit Leben,Zufriedenheit Wahlergebnis,Zurueckhaltend,label,leicht Vertrauen,wenig kuenstlerisches Interesse,woechentlicheArbeitszeit,Ängstlich
3.0,3.0,56.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,5.0,3.0,3.5,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,GBS-16915,2.0,1.0,4.0,4.0,4.0,2.0,5.0,2.0,"mehrere Personen, und zwar:",2.0,4.0,4.0,2.0,5.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,1,4.0,1.0,3.0,4.0
4.0,1.0,65.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,3.5,3.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,GBS-18120,4.0,1.0,3.0,3.0,3.0,0.0,6.0,4.0,,1.0,3.0,2.0,4.0,3.0,3.0,4.0,1.0,1.0,4.0,3.0,2.0,1,4.0,2.0,5.0,4.0
3.0,2.0,59.0,2.0,5.0,2.0,5.0,2.0,4.0,2.0,2.0,3.0,3.5,4.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,2.0,5.0,5.0,GBS-18583,3.0,1.0,2.0,4.0,3.0,1.0,7.0,5.0,,1.0,1.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,1,2.0,1.0,5.0,4.0
3.0,2.0,71.0,3.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,8.0,3.5,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,5.0,5.0,GBS-20053,3.0,1.0,2.0,3.0,3.0,1.0,6.0,5.0,"mehrere Personen, und zwar:",2.0,3.0,2.0,3.0,5.0,3.0,4.0,1.0,1.0,3.0,2.0,4.0,1,5.0,4.0,1.0,4.0
3.0,2.0,22.0,2.0,5.0,3.0,5.0,1.0,3.0,2.0,8.0,8.0,3.5,3.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,5.0,GBS-20714,4.0,1.0,2.0,3.0,0.0,0.0,5.0,4.0,"mehrere Personen, und zwar:",2.0,4.0,2.0,4.0,4.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,1,3.0,2.0,1.0,4.0
2.0,3.0,28.0,3.0,5.0,1.0,4.0,1.0,5.0,1.0,2.0,3.0,3.5,2.0,4.0,2.0,2.0,4.0,1.0,1.0,5.0,4.0,3.0,2.0,1.0,4.0,4.0,GBS-21639,2.0,1.0,2.0,3.0,2.0,1.0,6.0,4.0,"mehrere Personen, und zwar:",1.0,4.0,1.0,3.0,5.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,1,4.0,2.0,3.0,4.0
3.0,2.0,72.0,3.0,5.0,2.0,4.0,4.0,5.0,2.0,6.0,1.0,3.5,4.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,3.0,3.0,1.0,5.0,5.0,GBS-22623,3.0,1.0,3.0,4.0,2.0,0.0,6.0,5.0,"mehrere Personen, und zwar:",1.0,4.0,2.0,3.0,1.0,4.0,3.0,1.0,1.0,3.0,4.0,3.0,1,4.0,3.0,1.0,4.0
3.0,2.0,32.0,3.0,4.0,2.0,4.0,2.0,5.0,2.0,2.0,5.0,3.5,4.0,3.0,4.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,1.0,2.0,5.0,5.0,GBS-23235,3.0,1.0,2.0,4.0,4.0,1.0,6.0,5.0,"mehrere Personen, und zwar:",1.0,5.0,2.0,3.0,5.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,1,4.0,1.0,1.0,4.0
3.0,2.0,63.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.5,3.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,GBS-23500,3.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,,4.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,2.0,2.0,1,4.0,4.0,5.0,4.0
1.0,3.0,52.0,2.0,5.0,2.0,4.0,1.0,5.0,1.0,2.0,3.0,3.5,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,4.0,3.0,4.0,4.0,GBS-25545,2.0,1.0,2.0,3.0,3.0,2.0,7.0,5.0,,2.0,5.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,3.0,1,2.0,1.0,5.0,3.0
